,ano,cod_micror,nome_micro,ranking_idh,idh,ranking_renda,idh_renda,ranking_educacao,idh_educacao,ranking_longev,idh_longevidade,lat,long
1,1991,35002,Fernandópolis,877.2727272727273,0.5008181818181818,1592.6363636363637,0.5830000000000001,755.3636363636364,0.30272727272727273,1254.4545454545455,0.718090909090909,-20.09685070774751,-50.25580728314751
2,1991,35003,Votuporanga,901.7777777777778,0.49577777777777776,1526.0,0.5854444444444443,684.3333333333334,0.29733333333333334,1683.0,0.701111111111111,-20.287609720080564,-49.857935011158354
3,1991,35004,São José do Rio Preto,769.6206896551724,0.5069310344827586,758.3103448275862,0.6328620689655173,906.8620689655172,0.28675862068965513,970.7586206896551,0.7263448275862067,-20.747164822262835,-49.387042619979574
4,1991,35005,Catanduva,1152.076923076923,0.48115384615384615,535.6153846153846,0.6497692307692309,1568.3076923076924,0.23969230769230768,907.3846153846154,0.7266923076923077,-21.087423165315577,-48.90544375530454
5,1991,35006,Auriflama,1143.7777777777778,0.48488888888888887,1233.6666666666667,0.6018888888888889,1157.7777777777778,0.2796666666666667,1844.888888888889,0.6936666666666665,-20.68655257542289,-50.357238714677806
6,1991,35007,Nhandeara,898.1111111111111,0.5008888888888888,878.5555555555555,0.6235555555555555,1022.0,0.2813333333333333,957.2222222222222,0.7265555555555556,-20.785682091563128,-49.84912412849128
7,1991,35008,Novo Horizonte,1076.3333333333333,0.4855,1237.1666666666667,0.6016666666666667,1263.8333333333333,0.259,609.0,0.7435,-21.4057581126813,-49.353861490519215
8,1991,35009,Barretos,668.6666666666666,0.5153333333333333,646.0,0.6416666666666667,794.3333333333334,0.29133333333333333,769.0,0.735,-20.537651136616667,-48.61516190974029
9,1991,35010,São Joaquim da Barra,714.6666666666666,0.5102222222222221,342.8888888888889,0.6637777777777778,971.7777777777778,0.2776666666666666,979.7777777777778,0.7235555555555556,-20.425783791663733,-48.06410887756407
10,1991,35011,Ituverava,634.0,0.5142000000000001,587.0,0.6406000000000001,797.0,0.292,780.8,0.7303999999999999,-20.23981011861089,-47.80530144057534
11,1991,35012,Franca,1522.5,0.4584,1194.1,0.6069,1808.6,0.225,1140.2,0.7179999999999999,-20.357958685757296,-47.4342412596671
12,1991,35013,Jaboticabal,754.2941176470588,0.5084117647058823,386.6470588235294,0.664470588235294,1044.235294117647,0.2749411764705882,949.0,0.7267058823529411,-21.155584987634374,-48.44885120443689
13,1991,35014,Ribeirão Preto,624.0625,0.525375,280.125,0.6765,894.0,0.29612499999999997,762.1875,0.7360625,-21.2382935965104,-47.814453710240294
